period,mca_dimension,mca_variance_explained,algorithm,distance_metric,feature_space,cluster_k,batch_size,n_init,m,error,maxiter,silhouette_score,davies_bouldin_index,calinski_harabasz_index,silhouette_sample_size,fpc,mean_max_membership,boundary_ratio,mean_jaccard_distance,running_time_seconds,metric_warning,label_file,membership_file,center_file,cluster_size_file
before_2012_03,53,80%,KMeans,euclidean,mca_coordinates,6,4096.0,5.0,,,,0.11300721567434839,2.9435029152863614,1966.2062391526579,10000,,,,,1.568349838256836,,before_2012_03_hyperparameter_tuning_results/mca53_euclidean_kmeans_bs4096_ninit5_labels_K6.npy,,,before_2012_03_hyperparameter_tuning_results/mca53_euclidean_kmeans_bs4096_ninit5_cluster_size_K6.csv
before_2012_03,53,80%,KMeans,euclidean,mca_coordinates,6,4096.0,10.0,,,,0.13110472132773476,2.920541011333329,2451.5862281130835,10000,,,,,1.5961921215057373,,before_2012_03_hyperparameter_tuning_results/mca53_euclidean_kmeans_bs4096_ninit10_labels_K6.npy,,,before_2012_03_hyperparameter_tuning_results/mca53_euclidean_kmeans_bs4096_ninit10_cluster_size_K6.csv
before_2012_03,53,80%,KMeans,euclidean,mca_coordinates,6,4096.0,20.0,,,,0.07128418630269596,3.387584966593032,2216.3165117756052,10000,,,,,1.5296580791473389,,before_2012_03_hyperparameter_tuning_results/mca53_euclidean_kmeans_bs4096_ninit20_labels_K6.npy,,,before_2012_03_hyperparameter_tuning_results/mca53_euclidean_kmeans_bs4096_ninit20_cluster_size_K6.csv
before_2012_03,53,80%,KMeans,euclidean,mca_coordinates,6,8192.0,5.0,,,,0.041438009700039434,3.4037550903751677,2363.853273216751,10000,,,,,1.2705788612365723,,before_2012_03_hyperparameter_tuning_results/mca53_euclidean_kmeans_bs8192_ninit5_labels_K6.npy,,,before_2012_03_hyperparameter_tuning_results/mca53_euclidean_kmeans_bs8192_ninit5_cluster_size_K6.csv
before_2012_03,53,80%,KMeans,euclidean,mca_coordinates,6,8192.0,10.0,,,,0.07749753594504583,3.01560652538114,2325.038556516685,10000,,,,,1.471444845199585,,before_2012_03_hyperparameter_tuning_results/mca53_euclidean_kmeans_bs8192_ninit10_labels_K6.npy,,,before_2012_03_hyperparameter_tuning_results/mca53_euclidean_kmeans_bs8192_ninit10_cluster_size_K6.csv
before_2012_03,53,80%,KMeans,euclidean,mca_coordinates,6,8192.0,20.0,,,,0.12482272618948301,3.2989727775979847,2310.6647690880436,10000,,,,,1.9766898155212402,,before_2012_03_hyperparameter_tuning_results/mca53_euclidean_kmeans_bs8192_ninit20_labels_K6.npy,,,before_2012_03_hyperparameter_tuning_results/mca53_euclidean_kmeans_bs8192_ninit20_cluster_size_K6.csv
before_2012_03,53,80%,KMeans,euclidean,mca_coordinates,6,16384.0,5.0,,,,0.04848064877536668,3.1772826038975808,2362.580020360634,10000,,,,,1.4422879219055176,,before_2012_03_hyperparameter_tuning_results/mca53_euclidean_kmeans_bs16384_ninit5_labels_K6.npy,,,before_2012_03_hyperparameter_tuning_results/mca53_euclidean_kmeans_bs16384_ninit5_cluster_size_K6.csv
before_2012_03,53,80%,KMeans,euclidean,mca_coordinates,6,16384.0,10.0,,,,0.165956995719981,3.3677649333469035,2195.9050156577414,10000,,,,,1.7262680530548096,,before_2012_03_hyperparameter_tuning_results/mca53_euclidean_kmeans_bs16384_ninit10_labels_K6.npy,,,before_2012_03_hyperparameter_tuning_results/mca53_euclidean_kmeans_bs16384_ninit10_cluster_size_K6.csv
before_2012_03,53,80%,KMeans,euclidean,mca_coordinates,6,16384.0,20.0,,,,0.06077454255856487,3.6696650084411337,2285.618904408546,10000,,,,,2.2679219245910645,,before_2012_03_hyperparameter_tuning_results/mca53_euclidean_kmeans_bs16384_ninit20_labels_K6.npy,,,before_2012_03_hyperparameter_tuning_results/mca53_euclidean_kmeans_bs16384_ninit20_cluster_size_K6.csv
before_2012_03,53,80%,FCM,euclidean,mca_coordinates,6,,,1.1,0.01,300.0,0.01838930736257606,4.065031363287742,1736.9520244260777,10000,0.6632894190416979,0.7311833968509426,0.27229801157815253,,4.727783918380737,,before_2012_03_hyperparameter_tuning_results/mca53_euclidean_fcm_m1p1_labels_K6.npy,before_2012_03_hyperparameter_tuning_results/mca53_euclidean_fcm_m1p1_membership_K6.npy,,before_2012_03_hyperparameter_tuning_results/mca53_euclidean_fcm_m1p1_cluster_size_K6.csv
before_2012_03,53,80%,FCM,euclidean,mca_coordinates,6,,,1.2,0.01,300.0,0.023812835981477574,6.53256926914996,1072.2979687986483,10000,0.36563270993604446,0.4277092102245749,0.6880543669770954,,13.46633768081665,,before_2012_03_hyperparameter_tuning_results/mca53_euclidean_fcm_m1p2_labels_K6.npy,before_2012_03_hyperparameter_tuning_results/mca53_euclidean_fcm_m1p2_membership_K6.npy,,before_2012_03_hyperparameter_tuning_results/mca53_euclidean_fcm_m1p2_cluster_size_K6.csv
